,date,close_000166.XSHE,close_000416.XSHE,close_000563.XSHE,close_000567.XSHE,close_000617.XSHE,close_000627.XSHE,close_000686.XSHE,close_000712.XSHE,close_000728.XSHE
184,2017-10-09,5.79,7.85,5.11,30.95,16.54,9.02,10.22,21.13,13.84
185,2017-10-10,5.82,7.88,5.14,30.0,16.57,9.03,10.34,21.05,13.86
186,2017-10-11,5.82,7.95,5.12,29.66,16.43,9.07,10.25,20.52,13.74
187,2017-10-12,5.81,7.83,5.13,29.01,16.21,9.06,10.21,20.61,13.59
188,2017-10-13,5.83,7.85,5.12,29.37,16.37,9.03,10.19,20.57,13.61
189,2017-10-16,5.77,7.66,5.06,29.67,17.09,8.94,9.95,19.98,13.25
190,2017-10-17,5.76,7.64,5.08,28.92,16.87,8.99,9.96,19.83,13.02
191,2017-10-18,5.78,7.58,5.02,28.0,16.76,8.85,9.89,19.44,12.84
192,2017-10-19,5.67,7.39,4.9,28.2,16.35,8.55,9.67,18.61,12.35
193,2017-10-20,5.68,7.55,4.91,29.17,16.54,8.64,9.77,18.86,12.44
194,2017-10-23,5.66,7.57,4.92,29.16,16.37,8.87,9.76,19.22,12.46
195,2017-10-24,5.75,7.63,4.9,28.87,16.21,9.02,9.88,19.13,12.64
196,2017-10-25,5.73,7.6,4.92,29.39,16.26,8.98,9.88,19.48,12.61
197,2017-10-26,5.76,7.62,5.0,29.59,16.38,9.1,9.91,19.57,12.62
198,2017-10-27,5.71,7.53,4.93,29.21,16.45,9.04,9.85,19.38,12.47
199,2017-10-30,5.58,7.73,4.83,27.92,15.48,9.26,9.53,18.68,12.09
200,2017-10-31,5.58,7.44,4.9,28.41,15.47,9.08,9.52,18.82,12.08
201,2017-11-01,5.53,7.41,4.91,29.71,15.41,9.31,9.5,18.75,12.23
202,2017-11-02,5.58,7.24,4.88,29.28,15.01,9.47,9.58,18.6,12.41
203,2017-11-03,5.52,7.18,4.86,28.46,14.81,9.72,9.48,19.13,12.23
204,2017-11-06,5.51,7.22,4.88,26.03,14.82,9.73,9.49,18.99,12.42
205,2017-11-07,5.57,7.42,4.92,25.65,15.27,9.81,9.56,19.18,12.5
206,2017-11-08,5.63,7.37,4.97,25.37,15.2,9.54,9.67,19.46,12.66
207,2017-11-09,5.62,7.38,4.91,25.86,15.2,9.73,9.63,19.39,12.65
208,2017-11-10,5.62,7.64,4.92,26.68,15.13,10.07,9.67,19.39,12.66
209,2017-11-13,5.61,8.4,4.99,26.29,15.17,10.18,9.65,17.45,12.56
210,2017-11-14,5.53,8.09,4.98,26.58,14.97,10.59,9.54,17.99,12.35
211,2017-11-15,5.54,7.92,4.91,25.53,14.63,10.23,9.49,17.73,12.12
212,2017-11-16,5.51,8.46,4.95,25.94,14.88,10.5,9.34,17.71,11.98
213,2017-11-17,5.54,8.25,4.82,24.9,14.33,10.12,9.25,16.66,12.01
214,2017-11-20,5.5,8.24,4.65,25.53,14.31,9.78,9.16,17.0,11.76
215,2017-11-21,5.64,8.57,4.66,24.94,14.65,10.33,9.38,17.45,12.14
216,2017-11-22,5.63,8.55,4.65,23.64,14.67,10.21,9.29,17.19,12.03
217,2017-11-23,5.52,8.05,4.44,23.48,13.92,10.08,9.06,16.94,11.79
218,2017-11-24,5.59,8.02,4.42,23.43,14.08,9.63,9.14,16.68,11.97
219,2017-11-27,5.6,8.07,4.38,23.5,14.01,9.19,9.15,16.52,11.99
220,2017-11-28,5.59,8.09,4.42,23.88,14.3,9.31,9.16,16.82,12.03
221,2017-11-29,5.59,7.97,4.39,24.35,14.36,9.36,9.23,16.78,12.09
222,2017-11-30,5.6,7.56,4.37,23.74,14.25,8.98,9.19,16.59,11.94
223,2017-12-01,5.53,7.54,4.37,23.53,14.3,9.02,9.17,17.24,11.95
224,2017-12-04,5.45,7.55,4.28,22.95,13.92,9.19,9.07,17.03,11.68
225,2017-12-05,5.48,7.28,4.28,22.06,13.76,8.83,9.1,16.12,11.71
226,2017-12-06,5.47,7.38,4.28,22.06,13.83,8.87,9.12,16.48,11.81
227,2017-12-07,5.43,7.41,4.28,22.07,13.66,8.72,9.06,16.37,11.65
228,2017-12-08,5.44,7.46,4.29,22.11,13.66,8.84,9.08,17.43,11.66
229,2017-12-11,5.45,7.49,4.33,22.55,13.91,9.07,9.14,17.39,11.73
230,2017-12-12,5.36,7.38,4.29,22.3,13.64,8.85,9.02,17.39,11.52
231,2017-12-13,5.35,7.33,4.29,22.36,13.67,9.02,9.04,17.39,11.54
232,2017-12-14,5.33,7.53,4.32,22.32,13.58,8.92,8.94,17.61,11.2
233,2017-12-15,5.3,7.46,4.29,22.51,13.35,8.79,8.88,17.62,11.12
234,2017-12-18,5.27,7.3,4.18,22.72,13.28,8.82,8.8,17.63,11.19
235,2017-12-19,5.3,7.33,4.22,22.47,13.47,9.06,8.88,17.62,11.24
236,2017-12-20,5.24,7.22,4.21,22.09,13.29,8.87,8.67,17.35,11.01
237,2017-12-21,5.23,7.13,4.16,22.04,13.2,8.88,8.69,17.7,11.02
238,2017-12-22,5.21,7.11,4.16,22.07,13.68,8.83,8.62,17.71,10.74
239,2017-12-25,5.13,7.05,4.0,23.78,13.58,8.84,8.48,17.15,10.57
240,2017-12-26,5.16,7.11,3.97,23.69,13.71,8.3,8.54,17.2,10.71
241,2017-12-27,5.16,6.99,3.94,23.7,14.37,8.11,8.55,16.91,10.63
242,2017-12-28,5.24,6.98,4.0,23.76,14.4,7.92,8.62,16.96,10.71
243,2017-12-29,5.31,7.06,4.09,24.0,14.69,7.95,8.64,16.78,10.77
244,2018-01-02,5.32,7.13,4.12,24.18,14.46,8.06,8.73,17.2,10.87
245,2018-01-03,5.31,7.38,4.13,24.84,14.2,8.2,8.79,17.26,10.96
246,2018-01-04,5.27,7.33,4.12,24.67,14.33,8.21,8.75,17.02,10.91
247,2018-01-05,5.29,7.35,4.14,24.53,14.21,8.15,8.76,17.06,10.92
248,2018-01-08,5.34,7.24,4.15,24.25,14.07,8.12,8.87,16.91,11.01
249,2018-01-09,5.3,7.19,4.11,23.95,14.13,8.26,8.83,16.53,10.89
250,2018-01-10,5.27,7.18,4.08,24.65,14.13,8.15,8.54,16.59,10.68
251,2018-01-11,5.27,7.26,4.06,24.93,14.14,8.18,8.55,16.81,10.69
252,2018-01-12,5.27,7.25,4.06,25.35,14.12,8.19,8.54,16.58,10.56
253,2018-01-15,5.2,7.04,3.94,24.05,13.6,8.3,8.36,15.69,10.13
254,2018-01-16,5.26,7.1,3.97,24.55,13.73,8.19,8.5,15.74,10.35
255,2018-01-17,5.4,7.25,4.37,24.58,14.6,8.44,8.75,16.01,10.76
256,2018-01-18,5.4,7.19,4.32,25.01,14.34,8.46,8.75,15.87,10.76
257,2018-01-19,5.52,7.28,4.48,24.9,14.99,8.63,9.05,16.64,11.18
258,2018-01-22,5.52,7.23,4.43,25.0,14.97,8.6,9.07,16.61,11.17
259,2018-01-23,5.5,7.19,4.41,26.0,15.04,8.65,9.2,16.59,11.19
260,2018-01-24,5.63,7.16,4.45,25.69,14.87,8.49,9.34,17.01,11.5
261,2018-01-25,5.49,7.16,4.39,25.85,15.0,8.39,9.14,16.68,11.23
262,2018-01-26,5.53,7.14,4.35,25.67,14.77,8.43,9.18,16.71,11.21
263,2018-01-29,5.53,6.98,4.34,25.89,14.49,8.1,9.03,16.29,11.0
264,2018-01-30,5.41,6.99,4.29,25.72,14.41,8.09,8.93,16.69,11.04
265,2018-01-31,5.29,6.61,4.1,24.5,14.0,7.99,8.71,16.02,10.68
266,2018-02-01,5.26,6.04,3.96,23.31,13.7,7.39,8.48,14.95,10.36
267,2018-02-02,5.31,6.06,3.95,23.39,13.89,7.48,8.49,14.78,10.31
268,2018-02-05,5.31,5.83,3.97,23.81,13.72,7.48,8.53,13.94,10.36
269,2018-02-06,5.27,5.24,3.8,22.41,12.85,7.25,8.19,12.63,9.89
270,2018-02-07,5.15,5.03,3.83,21.99,12.78,7.12,8.12,12.85,9.83
271,2018-02-08,5.17,5.03,3.87,22.88,12.83,7.23,8.21,13.03,9.87
